level2CategoryId,level1CategoryId,categoryName
22998,4384,Đồ uống - Pha chế dạng bột
8047,1801,Máy Bay Camera và Phụ Kiện
1795,1789,Điện thoại Smartphone
27562,915,Quần nam
1818,1801,"Phụ Kiện Máy Ảnh, Máy Quay"
28822,1801,Thiết Bị Quay Phim
1796,1789,Điện thoại phổ thông
8060,1846,Thiết Bị Lưu Trữ
21346,17166,"Ô tô, xe máy, xe đạp"
320,8322,English Books
2322,1520,Thực phẩm chức năng
21442,17166,Thời Trang
4077,1801,Camera Giám Sát
981,1703,Giày boots nữ
5404,931,Chân váy
5337,27616,Túi xách công sở nam
1584,1520,Trang điểm 
54500,44792,Chăm sóc nhà cửa
21166,17166,Mẹ & Bé
8313,1883,Đồ dùng phòng ngủ
10803,1975,Thực phẩm bổ sung năng lượng
27542,8371,Phụ kiện đồng hồ
5873,1520,Sản phẩm thiên nhiên & Khác
28432,1815,Thiết Bị Thông Minh và Linh Kiện Điện Tử
8413,1975,Thể thao dưới nước
53620,4384,Đậu & Hạt Các Loại
54330,44792,"Sữa, bơ, phô mai"
23120,1975,Các môn thể thao đối kháng 
28794,1801,Ống Kính - Ống Ngắm
1508,931,Đồ ngủ - Đồ mặc nhà nữ
8129,1846,Linh Kiện Máy Tính - Phụ Kiện Máy Tính
8411,1975,Các môn thể thao chơi vợt
3866,4221,Máy nước nóng
24002,1975,Các môn thể thao khác
6827,1975,Giày thể thao nữ
6070,8594,Xe điện
24258,1975,Dụng cụ leo núi
21074,17166,Laptop & Máy Vi Tính
8142,1520,Hỗ trợ tình dục
20766,17166,Bách hóa online
10068,1883,Nhạc cụ
54452,44792,"Bánh kẹo, giỏ quà"
16004,915,Đồ bơi - Đồ đi biển nam
4422,4384,Gia Vị và Chế Biến
11327,11312,Sự kiện - Giải trí
54316,44792,Thực phẩm Việt
54290,44792,"Cá, thuỷ hải sản"
46516,11312,TicketBox
49384,931,Thời trang trung niên
17208,8594,"Dịch vụ, lắp đặt"
8595,8594,Ô tô
1595,1520,Nước hoa
6179,931,Trang phục bơi nữ
54438,44792,Dành cho trẻ em
3868,4221,Tủ đông - Tủ mát
21268,17166,Nhà Cửa - Đời Sống
21054,17166,Điện Thoại - Máy Tính Bảng
1591,1520,Chăm sóc tóc và da đầu
24024,4384,Đồ Uống Không Cồn
1778,8371,Đồng hồ nam
8337,1686,Giày boots nam
5340,1686,Giày lười nam
21298,17166,"Sách, Văn phòng phẩm & Quà lưu niệm"
11313,11312,Nhà hàng - Ăn uống
28834,1801,Camera Hành Trình - Action Camera và Phụ Kiện
54398,44792,"Đồ hộp, đóng gói"
4553,931,Đồ đôi - Đồ gia đình
20824,17166,Điện gia dụng
8597,8594,Xe máy
8074,4221,Phụ kiện điện lạnh
54302,44792,Rau củ quả
3862,4221,Máy giặt
11332,11312,Khóa học
28806,1801,Máy Ảnh
8039,1815,Thiết Bị Đeo Thông Minh và Phụ Kiện
8095,1846,Laptop
