level2CategoryId,level1CategoryId,categoryName
54438,44792,Dành cho trẻ em
21346,17166,"Ô tô, xe máy, xe đạp"
28856,1789,Máy đọc sách
20766,17166,Bách hóa online
11327,11312,Sự kiện - Giải trí
17208,8594,"Dịch vụ, lắp đặt"
54430,44792,Thực phẩm chay
49516,915,Đồ đôi - Đồ gia đình nam
1840,1801,Balo - Túi Đựng - Bao Da
8337,1686,Giày boots nam
49532,915,Quần áo nam trung niên
11347,4384,Bộ quà tặng
23120,1975,Các môn thể thao đối kháng 
8370,27498,Mắt kính
1946,1882,Thiết bị gia đình
8413,1975,Thể thao dưới nước
8039,1815,Thiết Bị Đeo Thông Minh và Phụ Kiện
49384,931,Thời trang trung niên
49650,27616,"Túi bao tử, túi đeo bụng"
6179,931,Trang phục bơi nữ
15074,4384,Thực phẩm Đóng hộp và Khô
54466,44792,"Thức ăn, đồ thú cưng"
3863,4221,Máy sấy quần áo
8047,1801,Máy Bay Camera và Phụ Kiện
8142,1520,Hỗ trợ tình dục
28806,1801,Máy Ảnh
54384,44792,"Gạo, mì, nông sản"
4422,4384,Gia Vị và Chế Biến
21442,17166,Thời Trang
28432,1815,Thiết Bị Thông Minh và Linh Kiện Điện Tử
1795,1789,Điện thoại Smartphone
2640,2549,"Chăm sóc mẹ mang thai, sau sinh"
4553,931,Đồ đôi - Đồ gia đình
10570,2549,Chuẩn bị mang thai
22998,4384,Đồ uống - Pha chế dạng bột
24024,4384,Đồ Uống Không Cồn
5015,4221,Tivi
8352,976,Phụ kiện túi
54290,44792,"Cá, thuỷ hải sản"
977,8371,Đồng hồ nữ
53620,4384,Đậu & Hạt Các Loại
10416,2549,Dinh dưỡng cho mẹ
8435,8594,Xe Scooter
11319,11312,Du lịch - Khách sạn
